index,p_id,interval_id,percNeg,percZero,percPos,avg_rating,total_presses,rating_variance,rating_range,press_intensity,emotion_transitions,context_influence,post_ride_rating,flow,safety,warning_value,safety_predisposition_numeric,nervousness_predisposition_numeric,arousaldisposition_numeric,pleasantnessdisposition_numeric,flowdisposition_numeric
0,443,1.0,0.0,19.148936170212767,80.85106382978722,0.809,47.0,0.1581868640148011,1.0,0.3977271225536437,9.0,2.857,92.0,83.0,91.0,1.5454,5.0,1.0,0.0,1.0,1.0
1,443,2.0,23.88059701492537,56.71641791044776,19.402985074626866,-0.045,67.0,0.4373586612392581,2.0,0.6613309770752147,18.0,1.875,66.0,25.0,89.0,1.5,5.0,1.0,0.0,1.0,1.0
2,443,3.0,24.299065420560748,34.57943925233645,41.1214953271028,0.168,107.0,0.6318109680832305,2.0,0.7948653773333132,41.0,1.75,51.0,56.0,74.0,1.3,5.0,1.0,0.0,1.0,1.0
4,863,2.0,66.66666666666666,0.0,33.33333333333333,-0.333,3.0,1.3333333333333337,2.0,1.1547005383792517,1.0,2.0,91.0,73.0,100.0,1.9,4.0,1.0,2.0,3.0,2.0
5,863,3.0,0.0,50.0,50.0,0.5,2.0,0.5,1.0,0.7071067811865476,1.0,1.875,94.0,73.0,98.0,1.1,4.0,1.0,2.0,3.0,2.0
6,163,2.0,100.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,2.375,69.0,68.5,81.0,1.7,5.0,1.0,2.0,2.0,2.0
7,163,3.0,90.0,10.0,0.0,-0.9,10.0,0.1,1.0,0.3162277660168379,2.0,2.25,73.0,64.0,64.0,1.9,5.0,1.0,2.0,2.0,2.0
8,658,1.0,0.0,50.0,50.0,0.5,2.0,0.5,1.0,0.7071067811865476,1.0,2.286,87.0,49.0,100.0,2.8181,5.0,1.0,2.0,2.0,3.0
9,658,2.0,33.33333333333333,11.11111111111111,55.55555555555556,0.222,9.0,0.9444444444444446,2.0,0.9718253158075502,4.0,2.0,88.0,50.0,75.0,2.5,5.0,1.0,2.0,2.0,3.0
10,658,3.0,0.0,40.0,60.0,0.6,5.0,0.3,1.0,0.5477225575051662,4.0,2.0,77.40506329113924,75.0,100.0,2.7,5.0,1.0,2.0,2.0,3.0
12,384,2.0,0.0,0.0,100.0,1.0,1.0,0.6023809523809525,0.0,0.749456144358254,0.0,2.0,71.0,73.0,70.0,2.8,4.0,1.0,1.0,2.0,1.0
13,384,3.0,28.57142857142857,14.285714285714285,57.14285714285714,0.286,7.0,0.9047619047619048,2.0,0.951189731211342,3.0,2.125,75.0,75.0,76.0,2.8,4.0,1.0,1.0,2.0,1.0
14,311,2.0,25.0,25.0,50.0,0.25,8.0,0.7857142857142857,2.0,0.8864052604279183,6.0,2.625,81.0,25.0,100.0,1.5,4.0,1.0,1.0,2.0,1.0
15,311,3.0,66.66666666666666,8.333333333333332,25.0,-0.417,12.0,0.8106060606060606,2.0,0.90033663737852,5.0,2.625,69.0,25.0,100.0,0.8,4.0,1.0,1.0,2.0,1.0
16,486,1.0,0.0,15.384615384615383,84.61538461538461,0.846,13.0,0.141025641025641,1.0,0.3755338080994053,3.0,2.571,87.0,57.0,75.0,2.6363,4.0,1.0,1.0,1.0,3.0
17,486,2.0,0.0,34.78260869565217,65.21739130434783,0.652,23.0,0.2371541501976285,1.0,0.486984753557674,8.0,2.625,80.0,50.0,100.0,2.9,4.0,1.0,1.0,1.0,3.0
18,486,3.0,0.0,13.333333333333334,86.66666666666667,0.867,15.0,0.1238095238095237,1.0,0.3518657752744983,2.0,2.365127659574468,77.40506329113924,57.0,100.0,2.179386075949367,4.0,1.0,1.0,1.0,3.0
19,793,1.0,0.0,0.0,100.0,1.0,1.0,0.0825396825396825,0.0,0.2345771835163322,0.0,2.429,92.0,64.0,100.0,1.8181,5.0,1.0,3.0,2.0,1.0
21,793,3.0,0.0,0.0,100.0,1.0,1.0,0.0412698412698412,0.0,0.1172885917581661,0.0,2.375,82.0,100.0,100.0,2.2,5.0,1.0,3.0,2.0,1.0
22,877,1.0,66.66666666666666,33.33333333333333,0.0,-0.667,3.0,0.0,0.0,0.0,0.0,2.714,98.0,61.0,85.0,2.6363,3.0,3.0,2.0,2.0,2.0
23,877,2.0,0.0,0.0,100.0,1.0,5.0,0.2,1.0,0.447213595499958,2.0,2.375,100.0,78.0,84.0,2.0,3.0,3.0,2.0,2.0,2.0
24,249,1.0,20.0,80.0,0.0,-0.2,7.0,0.6190476190476191,2.0,0.7867957924694432,2.0,2.714,79.0,34.0,77.0,2.1818,4.0,1.0,1.0,1.0,2.0
25,249,2.0,14.285714285714285,28.57142857142857,57.14285714285714,0.429,5.0,0.3,1.0,0.5477225575051662,1.0,2.125,82.0,43.0,56.0,2.3,4.0,1.0,1.0,1.0,2.0
26,249,3.0,40.0,60.0,0.0,-0.4,10.0,0.2333333333333333,1.0,0.4830458915396479,4.0,2.25,73.0,34.0,65.5,2.0,4.0,1.0,1.0,1.0,2.0
27,211,2.0,70.0,30.0,0.0,-0.7,8.0,0.0,0.0,0.0,0.0,1.75,63.0,25.0,75.0,1.5,5.0,1.0,0.0,0.0,2.0
28,211,3.0,85.71428571428571,14.285714285714285,0.0,-0.857,9.0,0.75,2.0,0.8660254037844386,5.0,1.875,64.0,25.0,75.0,1.8,5.0,1.0,0.0,0.0,2.0
29,910,1.0,0.0,0.0,100.0,1.0,6.0,0.6666666666666667,2.0,0.816496580927726,3.0,2.286,94.0,62.0,62.0,3.6363,5.0,1.0,3.0,0.75,2.0
30,910,2.0,22.22222222222222,22.22222222222222,55.55555555555556,0.333,15.0,0.923809523809524,2.0,0.961150104723255,7.0,2.5,87.0,94.0,39.0,3.4,5.0,1.0,3.0,1.5,2.0
